name,image,cost,gender
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5529-00892-300_model1,$48,M
Essential Cropped Full-Zip Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5416-00051-306_life1,$56,M
Essential Baggy Open-Hem Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5049-00065-330_life1,$48,M
Essential Cinched Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5064-00112-330_life1,$48,M
Essential Full-Zip Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5695-00087-300_life1,$56,M
Essential Short,https://img.abercrombie.com/is/image/anf/KIC_128-5188-00081-300_prod1,$50,M
Long-Sleeve Classic Waffle Henley,https://img.abercrombie.com/is/image/anf/KIC_124-5647-00019-100_prod1,$50,M
Long-Sleeve Classic Waffle Henley,https://img.abercrombie.com/is/image/anf/KIC_124-5645-00018-900_model1,$50,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5403-00821-108_model1,$64,M
The A&F Essential Pet Pupover,https://img.abercrombie.com/is/image/anf/KIC_112-5060-00067-306_model1,$30,M
Premium Heavyweight 2.0 Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5292-00484-108_prod1,$40,M
Essential Short,https://img.abercrombie.com/is/image/anf/KIC_128-5012-00114-336_life1,$50,M
Essential Cropped Full-Zip Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5414-00049-108_model1,$72,M
Essential Cinched Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5085-00120-336_model1,$56,M
Essential Half-Zip Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5443-00924-108_model1,$42.50,M
Essential Baggy Open-Hem Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5053-00068-336_model1,$56,M
Essential Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5577-01066-115_model1,$37.50,M
Essential Straight Open-Hem Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5136-00080-336_model1,$35,M
Long-Sleeve Premium Heavyweight 2.0 Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5572-00664-305_prod1,$50,M
Essential Full-Zip Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5693-00086-108_prod1,$72,M
Baggy Jean,https://img.abercrombie.com/is/image/anf/KIC_131-4255-00264-275_life1,$90,M
Vintage-Inspired Cropped Tee,https://img.abercrombie.com/is/image/anf/KIC_124-4294-0216-100_model1,$29,M
Classic Polished Tee,https://img.abercrombie.com/is/image/anf/KIC_124-4191-0205-175_model1,$19,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5574-01125-408_model1,$64,M
Essential Baggy Open-Hem Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5055-00067-336_prod1,$35,M
Classic Polished Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5721-00642-405_prod1,$25,M
Essential Cinched Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5065-00110-336_prod1,$35,M
Long-Sleeve Premium Heavyweight 2.0 Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5348-00670-405_prod1,$50,M
Essential Short,https://img.abercrombie.com/is/image/anf/KIC_128-5151-00059-336_model1,$50,M
Premium Heavyweight Cropped Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5445-00663-405_model1,$40,M
Baggy Jean,https://img.abercrombie.com/is/image/anf/KIC_131-5129-00306-278_model1,$90,M
Classic Polished Cropped Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5593-00597-100_model1,$19,M
Long-Sleeve Classic Waffle Henley,https://img.abercrombie.com/is/image/anf/KIC_124-5646-00017-408_prod1,$50,M
Vintage-Inspired Tee,https://img.abercrombie.com/is/image/anf/KIC_124-3863-0085-100_model1,$29,M
Loose Workwear Jean,https://img.abercrombie.com/is/image/anf/KIC_131-4178-0122-280_model1,$90,M
Baggy Trouser,https://img.abercrombie.com/is/image/anf/KIC_130-5115-00182-900_model1,$90,M
Fierce Cologne,https://img.abercrombie.com/is/image/anf/KIC_164-1503-0219-270_prod2,$138,M
Fierce Cologne,https://img.abercrombie.com/is/image/anf/KIC_164-1502-0218-270_prod2,$84,M
Fierce Cologne,https://img.abercrombie.com/is/image/anf/KIC_164-1501-0217-270_prod2,$58,M
Woods Cologne,https://img.abercrombie.com/is/image/anf/KIC_164-3010-0052-270_prod2,$58,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5445-00895-206_model1,$56,M
Fierce Perfume,https://img.abercrombie.com/is/image/anf/KIC_163-6800-0002-165_prod1,$58,F
Loose Workwear Pant,https://img.abercrombie.com/is/image/anf/KIC_130-5180-00222-450_prod1,$80,M
Essential Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5244-00682-118_model1,$30,M
Classic Polished Cropped Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5630-00643-900_model1,$19,M
A&F Go-To Athletic Fit Pant,https://img.abercrombie.com/is/image/anf/KIC_130-4102-00073-900_prod1,$64,M
Buffalo Bills Graphic Tee,https://img.abercrombie.com/is/image/anf/KIC_123-5126-00513-100_model1,$50,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5582-01071-206_model1,$56,M
Essential Half-Zip Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5620-01144-300_prod1,$52,M
Premium Heavyweight 2.0 Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5074-00436-908_model1,$40,M
Philadelphia Eagles Graphic Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5426-01093-906_model1,$80,M
A&F Go-To Pant,https://img.abercrombie.com/is/image/anf/KIC_130-4097-00070-900_model1,$80,M
YPB Textured Ribbed Popover,https://img.abercrombie.com/is/image/anf/KIC_118-4561-00113-133_prod1,$56,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5580-01070-120_prod1,$48,M
Long-Sleeve Rugby Polo,https://img.abercrombie.com/is/image/anf/KIC_124-4623-00097-508_model1,$60,M
Essential Ribbed High-Neck Tank,https://img.abercrombie.com/is/image/anf/KIC_124-4624-00012-100_prod1,$19,M
A&F Go-To Athletic Fit Pant,https://img.abercrombie.com/is/image/anf/KIC_130-4103-00009-200_prod1,$64,M
Essential Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5612-01141-300_prod1,$44,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5459-00906-138_prod1,$64,M
Premium Heavyweight 2.0 Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5530-00582-408_model1,$40,M
Baggy 5-Pocket Pant,https://img.abercrombie.com/is/image/anf/KIC_130-5133-00186-400_model1,$90,M
Relaxed Essential Tee,https://img.abercrombie.com/is/image/anf/KIC_124-3725-1296-908_model1,$25,M
Oversized Cable Crew Sweater,https://img.abercrombie.com/is/image/anf/KIC_120-5221-00549-150_prod1,$90,M
Essential Cropped Full-Zip Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5726-00067-122_prod1,$64,M
Philadelphia Eagles Graphic Tee,https://img.abercrombie.com/is/image/anf/KIC_123-5166-00521-100_model1,$50,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5467-00885-520_model1,$48,M
90s Straight Jean,https://img.abercrombie.com/is/image/anf/KIC_131-3404-2317-281_model1,$79,M
McLaren Vintage-Inspired Graphic Tee,https://img.abercrombie.com/is/image/anf/KIC_123-5257-00580-100_model1,$40,M
Philadelphia Eagles Half-Zip Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5424-01087-310_model1,$80,M
Baggy Jean,https://img.abercrombie.com/is/image/anf/KIC_131-5332-00455-120_model1,$90,M
A&F Go-To Pant,https://img.abercrombie.com/is/image/anf/KIC_130-4101-00071-200_prod1,$80,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5353-00815-606_prod1,$35,M
Baggy Jean,https://img.abercrombie.com/is/image/anf/KIC_131-5149-00372-280_prod1,$90,M
Fierce Confidence Cologne,https://img.abercrombie.com/is/image/anf/KIC_164-8520-0143-010_prod2,$58,M
San Francisco 49ers Graphic Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5377-01135-112_model1,$80,M
San Francisco 49ers Pet Pupover,https://img.abercrombie.com/is/image/anf/KIC_112-5104-00078-122_model1,$50,M
Ultra Baggy Jean,https://img.abercrombie.com/is/image/anf/KIC_131-4190-00229-975_life1,$90,M
Premium Heavyweight 2.0 Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5391-00649-308_prod1,$40,M
The A&F Collins Classic Blazer,https://img.abercrombie.com/is/image/anf/KIC_132-4032-0031-200_life1,$160,M
The A&F Collins Classic Blazer,https://img.abercrombie.com/is/image/anf/KIC_132-5031-00106-200_model1,$160,M
The A&F Collins Suit Pant,https://img.abercrombie.com/is/image/anf/KIC_130-4044-0039-200_life1,$100,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-4357-00445-406_prod1,$35,M
Baggy Trouser,https://img.abercrombie.com/is/image/anf/KIC_130-5112-00199-400_life1,$90,M
Premium Heavyweight Cropped Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5085-00430-908_model1,$40,M
Baggy 5-Pocket Pant,https://img.abercrombie.com/is/image/anf/KIC_130-5125-00102-336_model1,$57,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-4335-00542-422_model1,$35,M
Athletic Straight Jean,https://img.abercrombie.com/is/image/anf/KIC_131-5134-00040-900_model1,$80,M
Detroit Lions Graphic Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5495-01137-112_life1,$80,M
Signature Icon Don't Sweat It Polo,https://img.abercrombie.com/is/image/anf/KIC_124-3132-8607-200_prod1,$35,M
Vintage-Inspired Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5144-00409-175_model1,$29,M
Essential Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5427-00909-408_model1,$37.50,M
A&F Go-To Pant,https://img.abercrombie.com/is/image/anf/KIC_130-4097-00070-400_model1,$80,M
Kansas City Chiefs Graphic Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-4376-00622-100_prod1,$80,M
Seattle Seahawks Graphic Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-4233-00349-200_model1,$72,M
Coors Graphic Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5569-01127-500_model1,$72,M
A&F Essential Crew Sweater,https://img.abercrombie.com/is/image/anf/KIC_120-5248-00548-900_prod1,$80,M
Textural Striped Johnny Collar Sweater Polo,https://img.abercrombie.com/is/image/anf/KIC_120-5212-00586-100_prod1,$60,M
Baggy Jean,https://img.abercrombie.com/is/image/anf/KIC_131-5205-00388-900_model1,$90,M
Athletic Loose Jean,https://img.abercrombie.com/is/image/anf/KIC_131-5167-00311-130_model1,$80,M
Baggy Jean,https://img.abercrombie.com/is/image/anf/KIC_131-3165-2552-280_life1,$90,M
Essential Ribbed High-Neck Tank,https://img.abercrombie.com/is/image/anf/KIC_124-4185-0002-900_model1,$19,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5082-00722-300_model1,$48,M
Athletic Straight Jean,https://img.abercrombie.com/is/image/anf/KIC_131-5114-00272-275_life1,$80,M
McLaren Vintage-Inspired Graphic Tee,https://img.abercrombie.com/is/image/anf/KIC_123-5257-00580-143_model1,$40,M
Linen-Blend Pull-On Short,https://img.abercrombie.com/is/image/anf/KIC_128-5068-00126-412_model1,$60,M
Athletic Loose Jean,https://img.abercrombie.com/is/image/anf/KIC_131-4027-0021-280_life1,$80,M
New York Giants Graphic Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5476-01128-112_model1,$72,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-4269-00403-178_model1,$40,M
Relaxed Straight Trouser,https://img.abercrombie.com/is/image/anf/KIC_130-5122-00223-900_model1,$80,M
Loose Jean,https://img.abercrombie.com/is/image/anf/KIC_131-4000-0083-475_life1,$90,M
Premium Heavyweight 2.0 Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5529-00606-200_model1,$35,M
A&F Essential Crew Sweater,https://img.abercrombie.com/is/image/anf/KIC_120-5226-00543-110_prod1,$80,M
Athletic Loose Workwear Jean,https://img.abercrombie.com/is/image/anf/KIC_131-4017-0020-975_model1,$90,M
YPB motionTEK Cinched Hem Pant,https://img.abercrombie.com/is/image/anf/KIC_116-5150-00065-900_prod1,$64,M
Textural Striped Johnny Collar Sweater Polo,https://img.abercrombie.com/is/image/anf/KIC_120-5212-00586-900_model1,$60,M
New York Giants Graphic Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-4192-00473-100_prod1,$80,M
Textural Striped Johnny Collar Sweater Polo,https://img.abercrombie.com/is/image/anf/KIC_120-5212-00586-400_prod1,$60,M
Athletic Loose Jean,https://img.abercrombie.com/is/image/anf/KIC_131-5095-00392-280_model1,$80,M
Ultra Baggy Jean,https://img.abercrombie.com/is/image/anf/KIC_131-4240-00223-285_model1,$90,M
Ultra Baggy Jean,https://img.abercrombie.com/is/image/anf/KIC_131-4136-00185-130_life1,$90,M
Long-Sleeve Premium Heavyweight 2.0 Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5555-00673-100_model1,$50,M
Pleated Baggy Trouser,https://img.abercrombie.com/is/image/anf/KIC_130-5161-00227-900_model1,$90,M
Vintage-Inspired Tee,https://img.abercrombie.com/is/image/anf/KIC_124-4073-0114-908_model1,$29,M
YPB neoKNIT MAX Cinched Bottom,https://img.abercrombie.com/is/image/anf/KIC_116-5320-00073-900_prod1,$56,M
Premium Heavyweight 2.0 Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5397-00580-208_model1,$40,M
New England Patriots Graphic Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-4398-00458-206_model1,$80,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5451-00890-516_prod1,$48,M
Essential Baggy Open-Hem Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5092-00095-203_model1,$35,M
Vintage-Inspired Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5276-00518-900_prod1,$29,M
A&F Essential Crew Sweater,https://img.abercrombie.com/is/image/anf/KIC_120-5216-00538-150_prod1,$80,M
YPB neoKNIT MAX Cinched Bottom,https://img.abercrombie.com/is/image/anf/KIC_116-5321-00071-945_prod1,$56,M
Baggy Workwear Jean,https://img.abercrombie.com/is/image/anf/KIC_131-4185-00174-900_life1,$90,M
Chicago Bears Graphic Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-4116-00368-112_model1,$72,M
Long-Sleeve Premium Heavyweight 2.0 Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5354-00671-400_prod1,$50,M
PGA Ryder Cup Graphic Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5482-01203-206_model1,$45,M
Kansas City Chiefs Vintage-Inspired Graphic Tee,https://img.abercrombie.com/is/image/anf/KIC_123-4116-00237-903_model1,$50,M
Dallas Cowboys Vintage-Inspired Graphic Tee,https://img.abercrombie.com/is/image/anf/KIC_123-4099-00247-120_model1,$50,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5685-01164-306_life1,$64,M
Essential Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5430-00911-408_prod1,$37.50,M
Vintage 1994 Chargers Graphic Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-4128-00375-100_model1,$72,M
YPB neoKNIT MAX Half-Zip,https://img.abercrombie.com/is/image/anf/KIC_118-5050-00149-900_prod1,$56,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5065-00664-128_prod1,$40,M
Premium Heavyweight Cropped Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5336-00512-108_life1,$40,M
Essential Short,https://img.abercrombie.com/is/image/anf/KIC_128-5015-00116-336_life1,$50,M
New York Giants Vintage-Inspired Graphic Tee,https://img.abercrombie.com/is/image/anf/KIC_123-4132-00241-100_model1,$50,M
Polished Signature Icon Tee,https://img.abercrombie.com/is/image/anf/KIC_124-4065-0140-100_prod1,$19,M
Guinness Graphic Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5593-01204-112_model1,$72,M
Detroit Lions Graphic Tee,https://img.abercrombie.com/is/image/anf/KIC_123-5145-00517-903_model1,$50,M
Loose Jean,https://img.abercrombie.com/is/image/anf/KIC_131-5092-00068-280_prod1,$80,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5632-01162-303_life1,$56,M
Vintage-Inspired Cropped Tee,https://img.abercrombie.com/is/image/anf/KIC_124-4084-0229-908_model1,$29,M
Philadelphia Eagles Graphic Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5423-00981-112_model1,$72,M
Philadelphia Eagles Pet Pupover,https://img.abercrombie.com/is/image/anf/KIC_112-5108-00079-122_model4,$50,M
Indianapolis Colts Graphic Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-4134-00351-200_model1,$72,M
Cadillac Graphic Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5190-00710-900_model1,$45,M
Cincinnati Bengals Graphic Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-4118-00366-100_model1,$80,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5303-00765-226_prod1,$35,M
Athletic Straight Jean,https://img.abercrombie.com/is/image/anf/KIC_131-5077-00271-278_model1,$80,M
Kansas City Chiefs Vintage-Inspired Graphic Tee,https://img.abercrombie.com/is/image/anf/KIC_123-4114-00236-100_model1,$50,M
Fierce Gift Set,https://img.abercrombie.com/is/image/anf/KIC_164-5006-00063-270_prod1,$110,M
Loose Jean,https://img.abercrombie.com/is/image/anf/KIC_131-4243-00225-285_model1,$80,M
Philadelphia Eagles Vintage-Inspired Graphic Tee,https://img.abercrombie.com/is/image/anf/KIC_123-5195-00538-303_model1,$50,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5446-00881-500_model1,$48,M
Oversized Western Graphic Crew Sweater,https://img.abercrombie.com/is/image/anf/KIC_120-5258-00554-400_model1,$95,M
3-Pack Ribbed Tanks,https://img.abercrombie.com/is/image/anf/KIC_124-3346-0023-410_prod1,$50,M
Dallas Cowboys Graphic Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5413-01006-200_life1,$80,M
Classic Polished Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5066-00414-600_model1,$25,M
Cropped Flannel,https://img.abercrombie.com/is/image/anf/KIC_125-5274-00306-308_model1,$78,M
Premium Heavyweight 2.0 Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5729-00689-958_prod1,$40,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5243-00666-338_model1,$40,M
Dallas Cowboys Graphic Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-4138-00477-100_prod1,$80,M
Buffalo Bills Graphic Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5388-00976-100_model1,$72,M
New England Patriots Vintage-Inspired Graphic Tee,https://img.abercrombie.com/is/image/anf/KIC_123-4129-00248-100_model1,$50,M
Amber Cove,https://img.abercrombie.com/is/image/anf/KIC_164-3000-0049-270_prod2,$68,M
New York Giants Graphic Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5478-01094-100_model1,$80,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5305-00764-316_model1,$35,M
Philadelphia Eagles Graphic Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-4151-00367-100_model1,$72,M
Sea Fade Baggy Pull-On Pant,https://img.abercrombie.com/is/image/anf/KIC_130-5274-00274-900_model1,$90,M
San Francisco 49ers Graphic Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-4113-00369-100_model1,$72,M
The Ohio State University Graphic Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5553-01108-500_prod2,$80,M
Oracle Red Bull Racing Graphic Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-4372-00615-100_model1,$45,M
Premium Heavyweight Cropped Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5094-00405-100_life1,$35,M
Minnesota Vikings Graphic Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5526-01097-100_model1,$80,M
Textural Striped Johnny Collar Sweater Polo,https://img.abercrombie.com/is/image/anf/KIC_120-5212-00586-300_prod1,$60,M
A&F Collins Slim Stretch Suiting Shirt,https://img.abercrombie.com/is/image/anf/KIC_125-5092-00205-100_model1,$70,M
Washington Commanders Graphic Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-4135-00359-906_model1,$72,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5801-01213-806_prod1,$48,M
Detroit Lions Vintage-Inspired Graphic Tee,https://img.abercrombie.com/is/image/anf/KIC_123-5186-00530-233_model1,$50,M
Baggy Workwear Jean,https://img.abercrombie.com/is/image/anf/KIC_131-3171-2544-975_model1,$90,M
Buffalo Bills Vintage-Inspired Graphic Tee,https://img.abercrombie.com/is/image/anf/KIC_123-5181-00525-203_model1,$50,M
